rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,rainfall_30d_mm,soil_moisture_pct,temperature_24h_mean_c,relative_humidity_24h_mean_pct,slope_deg,elevation_m,ndvi,historical_events,landslide_occurred,sample_type,latitude,longitude,event_date,event_year,inventory_source,terrain_source,satellite_source,weather_source
0.0,0.0,0.0,0.0,20.954,18.417,80.333,13.67,172.0,0.7553,0,0,background_non_event,23.827057742118882,92.51416197107224,2016-01-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,31.271,14.65,82.542,12.72,875.0,0.82642,0,0,background_non_event,24.33757873533147,93.78428025055597,2016-01-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,35.163,-13.05,55.792,30.8,3528.0,0.79265,0,0,background_non_event,29.60160155726992,94.44705734539332,2016-01-12,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,31.665,-6.483,56.417,10.35,4541.0,0.1472,0,0,background_non_event,28.89147212125016,90.5606069848974,2016-01-13,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,38.346,14.917,86.292,10.01,432.0,0.7447,0,0,background_non_event,26.13012550824036,94.36224981517648,2016-01-14,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,40.758,16.408,80.958,14.9,312.0,0.341,0,1,observed_landslide,27.1758,88.5294,2016-01-14,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,34.212,15.696,80.333,10.54,215.0,0.5874,0,0,background_non_event,25.84552857469457,90.66631567457071,2016-01-18,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,26.879,18.812,67.625,1.11,123.0,0.2929,0,0,background_non_event,22.498334842358627,95.03716865371352,2016-01-19,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,18.544,13.862,84.25,0.34,86.0,0.4972,0,0,background_non_event,27.14116870124003,94.07925332328014,2016-01-20,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,26.996,17.229,88.708,1.69,158.0,0.4102,0,0,background_non_event,22.641114771264487,94.91691192834986,2016-01-21,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,27.013,19.896,72.625,1.26,215.0,0.2433,0,0,background_non_event,21.855350686849754,94.74915072476679,2016-01-23,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,10.694,15.908,72.375,3.85,55.0,0.619,0,0,background_non_event,23.174632029904178,92.21390339007529,2016-01-25,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,32.633,16.512,74.917,7.5,325.0,0.1467,0,1,observed_landslide,25.6226,96.2946,2016-01-25,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,43.09,14.617,83.208,0.42,119.0,0.52318,0,0,background_non_event,27.668579117324917,95.33567146543163,2016-01-27,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,30.817,6.417,79.667,25.4,1851.0,0.85432,0,0,background_non_event,25.122868975956642,94.70721442142342,2016-01-28,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,38.419,-6.996,76.417,14.2,3606.0,0.79057,0,0,background_non_event,27.56344590548797,90.60024642272344,2016-01-28,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,21.837,16.758,83.708,1.32,24.0,-0.15639,0,0,background_non_event,25.7364252124541,89.85805056462323,2016-01-31,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,21.919,13.446,68.458,21.61,1408.0,0.79882,0,0,background_non_event,21.91945057959603,93.44175622601864,2016-02-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,Sentinel-2 L2A / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,27.688,17.004,86.875,4.16,205.0,0.656,1,0,background_non_event,25.317102743137717,96.31005153407614,2016-02-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
0.0,0.0,0.0,0.0,39.506,4.983,84.292,26.1,2240.0,0.1314,1,0,background_non_event,27.214047425373966,89.01117753437299,2016-02-01,2016,NASA COOLR/GLC,USGS SRTM 90m via Open Topo Data,NASA MODIS MOD13Q1.061 / Microsoft Planetary Computer,Open-Meteo ERA5-Land historical reanalysis
